tweet_id,account_name,user_id,timestamp,text,links,repiles,retweets,favorites
1202739094348062723,Krissy 😈,88471094,3:58 PM - 5 Dec 2019,I still didn’t see   yet ,,Null,0,0
1202738009176719368,DomWithDaShit,2565357305,3:54 PM - 5 Dec 2019,Was the Movie “ ” good?,,Null,0,0
1202737975106236417,M Ryan Traylor,63865567,3:54 PM - 5 Dec 2019, did not disappoint.,,Null,0,2
1202735594759217155,DESTINEE’ 💕,880133774985412609,3:44 PM - 5 Dec 2019,since queen and slim isn’t an option  i wanna see ,,Null,0,1
1202735478040080385,Whitney Joneé,232609244,3:44 PM - 5 Dec 2019,Ok  finally finished the article. About to record my   tonight. So behind!     ,,Null,0,0
1202734323411116032,Rotem Rusak,41024302,3:39 PM - 5 Dec 2019,... ,,Null,0,2
1202733209831772165,Pepita Wildflower,409688221,3:35 PM - 5 Dec 2019,I have to look up the trailer for    but I hope you truly enjoy Queen and Slim!,,Null,0,0
1202732757845233665,🌚,222661545,3:33 PM - 5 Dec 2019,Is “ ” a good movie?,,Null,1,0
1202731183995523073,GurJ M.,259003285,3:27 PM - 5 Dec 2019, - 7/10,,Null,0,0
1202730706276962304,Jose Amaya,2941082916,3:25 PM - 5 Dec 2019,About to see “ ” at Regal Movie Theatre.,,Null,0,0
1202728832517603328,Boxoffice Pro,31052535,3:17 PM - 5 Dec 2019, $400K Wednesday $20.67M Total (North America)   ,,Null,0,5
1202726627450347521,colin johnson,836652348776800257,3:09 PM - 5 Dec 2019,Knives Out 10/10   9/10 ,,Null,0,0
1202726436001501189,Michael,2513327214,3:08 PM - 5 Dec 2019,Endgame Knives out   Fighting with my family Bond 25 trailer,,Null,0,0
1202725580392869888,KxH,700544605113044992,3:04 PM - 5 Dec 2019,,,Null,0,0
1202725539557060615,🐬🦈凜遙❀TheDestinedPair❀🏅🏅,27972134,3:04 PM - 5 Dec 2019,So I just witnessed “ ” in real life but instead of drugs it was a jewelry heist.,,Null,0,1
1202724876836102146,Born Again Pescatarian,239990020,3:02 PM - 5 Dec 2019,Monday (Hopefully if the weather holds): Going to see ,,Null,1,1
1202724817566392322,Deku🇳🇬,820303854809944068,3:01 PM - 5 Dec 2019,Knives Out (main one I wanna see).    Jumanji and Frozen 2 ,,Null,0,0
1202724257542942721,Langston™,740335200954163200,2:59 PM - 5 Dec 2019,  a must watch based on thriller.,,Null,0,1
1202720473693507584,‎✵ Captain ‎Am-ber ‎ ‎⍟,817630502,2:44 PM - 5 Dec 2019, was okay but it felt like it had every cop movie cliche thrown at it  and if it had just been a bit simpler it would have worked a lot better ,,Null,0,0
1202719588141551617,Mychal Sanders 💙,2945401603,2:41 PM - 5 Dec 2019,Knives Out  Avengers: Endgame  Doctor Sleep  Ready Or Not  Captain Marvel   it's too early to choose yet XD I have a feeling Star Wars  Frozen II  Bombshell  Harriet  A beautiful day in the neighborhood     Maleficent II & Spies in Disguise will join once I see them :D,,Null,0,0
1202739094348062723,Krissy 😈,88471094,3:58 PM - 5 Dec 2019,I still didn’t see   yet ,,Null,0,0
1202738009176719368,DomWithDaShit,2565357305,3:54 PM - 5 Dec 2019,Was the Movie “ ” good?,,Null,0,0
1202737975106236417,M Ryan Traylor,63865567,3:54 PM - 5 Dec 2019, did not disappoint.,,Null,0,2
1202735594759217155,DESTINEE’ 💕,880133774985412609,3:44 PM - 5 Dec 2019,since queen and slim isn’t an option  i wanna see ,,Null,0,1
1202735478040080385,Whitney Joneé,232609244,3:44 PM - 5 Dec 2019,Ok  finally finished the article. About to record my   tonight. So behind!     ,,Null,0,0
1202734323411116032,Rotem Rusak,41024302,3:39 PM - 5 Dec 2019,... ,,Null,0,2
1202733209831772165,Pepita Wildflower,409688221,3:35 PM - 5 Dec 2019,I have to look up the trailer for    but I hope you truly enjoy Queen and Slim!,,Null,0,0
1202732757845233665,🌚,222661545,3:33 PM - 5 Dec 2019,Is “ ” a good movie?,,Null,1,0
1202731183995523073,GurJ M.,259003285,3:27 PM - 5 Dec 2019, - 7/10,,Null,0,0
1202730706276962304,Jose Amaya,2941082916,3:25 PM - 5 Dec 2019,About to see “ ” at Regal Movie Theatre.,,Null,0,0
1202728832517603328,Boxoffice Pro,31052535,3:17 PM - 5 Dec 2019, $400K Wednesday $20.67M Total (North America)   ,,Null,0,5
1202726627450347521,colin johnson,836652348776800257,3:09 PM - 5 Dec 2019,Knives Out 10/10   9/10 ,,Null,0,0
1202726436001501189,Michael,2513327214,3:08 PM - 5 Dec 2019,Endgame Knives out   Fighting with my family Bond 25 trailer,,Null,0,0
1202725580392869888,KxH,700544605113044992,3:04 PM - 5 Dec 2019,,,Null,0,0
1202725539557060615,🐬🦈凜遙❀TheDestinedPair❀🏅🏅,27972134,3:04 PM - 5 Dec 2019,So I just witnessed “ ” in real life but instead of drugs it was a jewelry heist.,,Null,0,1
1202724876836102146,Born Again Pescatarian,239990020,3:02 PM - 5 Dec 2019,Monday (Hopefully if the weather holds): Going to see ,,Null,1,1
1202724817566392322,Deku🇳🇬,820303854809944068,3:01 PM - 5 Dec 2019,Knives Out (main one I wanna see).    Jumanji and Frozen 2 ,,Null,0,0
1202724257542942721,Langston™,740335200954163200,2:59 PM - 5 Dec 2019,  a must watch based on thriller.,,Null,0,1
1202720473693507584,‎✵ Captain ‎Am-ber ‎ ‎⍟,817630502,2:44 PM - 5 Dec 2019, was okay but it felt like it had every cop movie cliche thrown at it  and if it had just been a bit simpler it would have worked a lot better ,,Null,0,0
1202719588141551617,Mychal Sanders 💙,2945401603,2:41 PM - 5 Dec 2019,Knives Out  Avengers: Endgame  Doctor Sleep  Ready Or Not  Captain Marvel   it's too early to choose yet XD I have a feeling Star Wars  Frozen II  Bombshell  Harriet  A beautiful day in the neighborhood     Maleficent II & Spies in Disguise will join once I see them :D,,Null,0,0
1202719223681867776,Edwin Arnaudin,16685008,2:39 PM - 5 Dec 2019,Excited to see it tonight.  Also props to him for the   script  which also has that Carnahan Crackle.,,Null,0,0
1202718356022976512,Mrobinson30,1075461289898598402,2:36 PM - 5 Dec 2019,Out at the movies with friends finally watching " ". I've heard great reviews from family & coworkers so now i will find put personally . I hope you all are having a wonderful day ,,Null,0,13
1202717570475933696,Jay Rose,66536565,2:33 PM - 5 Dec 2019,I think ima go tonight i wanna see   too tho ,https://twitter.com/GeeItsMarGee/status/1202717444286156800,Null,0,1
1202712496227979270,Bhavik Chhanabhai,1129153523520819200,2:12 PM - 5 Dec 2019, is a solid  enjoyable movie,,Null,1,2
1202712274470760448,Pushaman Fly 🚀,35565476,2:12 PM - 5 Dec 2019, was hoooooot ,,Null,0,0
1202710602520678400,The_Equalizer,3416777536,2:05 PM - 5 Dec 2019, shows you this ,https://twitter.com/FredTJoseph/status/1202706577276444672,Null,0,0
1202710207404609536,💯Sucker Free Steph💯,2981449278,2:03 PM - 5 Dec 2019, Y’all saw   Yet,,Null,0,0
1202709141816565760,Tom Gregory,98501372,1:59 PM - 5 Dec 2019,Yeah for sure. Knives Out too. Thought   was a noble effort but didn’t quite pull it off.,,Null,0,0
1202709046094155776,Schnorbitz,715640456164610048,1:59 PM - 5 Dec 2019,Blimey   is good Go see it.,,Null,0,0
1202708239432863744,Sibusiso Sibeko,1071464480587034624,1:56 PM - 5 Dec 2019, did you watch  ?I really hated it for the fact that it had absolutely no creatively ambition or need to exist,,Null,0,0
1202708187855671296,Jaelyn,2956144373,1:55 PM - 5 Dec 2019,? Good good.,,Null,0,0
