tweet_id,account_name,user_id,timestamp,text,links,repiles,retweets,favorites
1202739263923740672,Big Willy,1149668303033569280,3:59 PM - 5 Dec 2019,saw   the other night  very good. There's a doc on Carroll Shelby on Netflix that is actually better imo.,,Null,0,1
1202739131371204609,photo_gt97 🇹🇹,2996957211,3:58 PM - 5 Dec 2019,I’m late to the party but I’m here let’s go     ,,Null,0,1
1202738975934472193,Big Poppi,746321048,3:58 PM - 5 Dec 2019,Knives Out was pretty good.        was amazing!,,Null,0,1
1202738873077506048,Mohammad Almisbaa,430427083,3:57 PM - 5 Dec 2019,It's fantastic I rated   (2019) 10/10 - ,https://www.imdb.com/title/tt1950186/,Null,0,2
1202738668559052800,Mark Ludwiczak,327028340,3:56 PM - 5 Dec 2019,*I have yet to see Marriage Story  Knives Out  Waves     Uncut Gems or The Lighthouse and could easily see those jumping into the mix ,https://twitter.com/marklud12/status/1202733553601204224,Null,0,1
1202737280844206081,Teresa🌎☄️BurbankCon2019✨,1000558352437534721,3:51 PM - 5 Dec 2019,Looks like you were having fun.,,Null,0,0
1202736965646520321,يوسف عصام الجيماز,2853094394,3:50 PM - 5 Dec 2019,I rated   (2019) 10/10    ,https://www.imdb.com/title/tt1950186,Null,0,0
1202735999400529920,KHALED AlHASHASH,335909052,3:46 PM - 5 Dec 2019,I rated   (2019) 8/10    ,https://www.imdb.com/title/tt1950186,Null,0,0
1202735951858077698,Evan Lucken,19799464,3:46 PM - 5 Dec 2019,Here to see    show time was 6:25 and the trailers are still rolling. Come on guys  that's way too long.,,Null,0,1
1202735366802984961,jason kohler,456887337,3:43 PM - 5 Dec 2019,Just watched    great film ,,Null,0,0
1202732844554051584,AJ Foyt Racing,39666777,3:33 PM - 5 Dec 2019,"Showing up every day and putting on a near exact replica of a race suit with my dad’s name on it was a strange but special experience."   Alex Gurney ( ) shares what it was like working on    along with Jeff Bucknum.   ,https://www.foytracing.com/single-post/2019/12/05/2nd-Gen-Drivers-Gurney-Bucknum-talk-about-working-on-Ford-V-Ferrari,Null,4,22
1202732765365469184,¯\_(ツ)_/¯,1042970252,3:33 PM - 5 Dec 2019,My top 10 in order: Rocketman Knives Out Parasite  Queen & Slim Joker    The Peanut Butter Falcon  Jojo Rabbit Midsommar Honey Boy ,https://twitter.com/ringer/status/1202714613013331968,Null,0,1
1202732095317123072,Alfred Castro,1094314601867628544,3:30 PM - 5 Dec 2019,Just watched    good ass movie,,Null,0,2
1202731921421348864,Tyler Wolff,2741200161,3:30 PM - 5 Dec 2019,Great to see some   and   love! Other than the top 4  this is pretty much out of order! ,,Null,0,1
1202731735051653127,thalia,1155753810913923073,3:29 PM - 5 Dec 2019,queen i love u,,Null,0,0
1202731321191211009,Artemis,1111257958845800448,3:27 PM - 5 Dec 2019,  I thought  you want to come in through the window,,Null,0,0
1202731280208547841,Stephen Dullin |•'-'•)و✧,536317087,3:27 PM - 5 Dec 2019,You should have jumped through the window like a boss and then started the car.,,Null,0,0
1202730999420899328,Kevin Kong,1143339543740866562,3:26 PM - 5 Dec 2019,I think Joker deserves to be on the list but Richard Jewell should not be here.   should be in there.,,Null,0,0
1202730929611005953,Immaculate Mbaezue,1152002694439194624,3:26 PM - 5 Dec 2019,Daily Box Office Top 5 for Wednesday  December 4  2019  1.   - $2.82M 2.   - $1.74M 3.   - $925K 4.   - $830K 5.   - $810K  ,,Null,0,0
1202729715469029377,Chris Gill,727155462,3:21 PM - 5 Dec 2019,Finally    with ,,Null,0,2
1202739263923740672,Big Willy,1149668303033569280,3:59 PM - 5 Dec 2019,saw   the other night  very good. There's a doc on Carroll Shelby on Netflix that is actually better imo.,,Null,0,1
1202739131371204609,photo_gt97 🇹🇹,2996957211,3:58 PM - 5 Dec 2019,I’m late to the party but I’m here let’s go     ,,Null,0,1
1202738975934472193,Big Poppi,746321048,3:58 PM - 5 Dec 2019,Knives Out was pretty good.        was amazing!,,Null,0,1
1202738873077506048,Mohammad Almisbaa,430427083,3:57 PM - 5 Dec 2019,It's fantastic I rated   (2019) 10/10 - ,https://www.imdb.com/title/tt1950186/,Null,0,2
1202738668559052800,Mark Ludwiczak,327028340,3:56 PM - 5 Dec 2019,*I have yet to see Marriage Story  Knives Out  Waves     Uncut Gems or The Lighthouse and could easily see those jumping into the mix ,https://twitter.com/marklud12/status/1202733553601204224,Null,0,1
1202737280844206081,Teresa🌎☄️BurbankCon2019✨,1000558352437534721,3:51 PM - 5 Dec 2019,Looks like you were having fun.,,Null,0,0
1202736965646520321,يوسف عصام الجيماز,2853094394,3:50 PM - 5 Dec 2019,I rated   (2019) 10/10    ,https://www.imdb.com/title/tt1950186,Null,0,0
1202735999400529920,KHALED AlHASHASH,335909052,3:46 PM - 5 Dec 2019,I rated   (2019) 8/10    ,https://www.imdb.com/title/tt1950186,Null,0,0
1202735951858077698,Evan Lucken,19799464,3:46 PM - 5 Dec 2019,Here to see    show time was 6:25 and the trailers are still rolling. Come on guys  that's way too long.,,Null,0,1
1202735366802984961,jason kohler,456887337,3:43 PM - 5 Dec 2019,Just watched    great film ,,Null,0,0
1202732844554051584,AJ Foyt Racing,39666777,3:33 PM - 5 Dec 2019,"Showing up every day and putting on a near exact replica of a race suit with my dad’s name on it was a strange but special experience."   Alex Gurney ( ) shares what it was like working on    along with Jeff Bucknum.   ,https://www.foytracing.com/single-post/2019/12/05/2nd-Gen-Drivers-Gurney-Bucknum-talk-about-working-on-Ford-V-Ferrari,Null,4,22
1202732765365469184,¯\_(ツ)_/¯,1042970252,3:33 PM - 5 Dec 2019,My top 10 in order: Rocketman Knives Out Parasite  Queen & Slim Joker    The Peanut Butter Falcon  Jojo Rabbit Midsommar Honey Boy ,https://twitter.com/ringer/status/1202714613013331968,Null,0,1
