movie_title,number_of_voted_user,number_of _user_for_reviews,number_of_critics,log_budget,country,year
The Aeronauts,1925,55,75,17.50439001,USA,2019
Playmobil: The Movie,1043,33,49,18.13299867,France,2019
A Beautiful Day in the  Neighborhood,6299,160,123,15.20180492,USA,2019
21 Bridges,4223,114,64,17.31201812,USA,2019
Playing with Fire,1731,74,22,17.53256635,USA,2019
Midway,14485,410,123,18.42068074,USA,2019
Joker,505653,8117,583,17.82284374,USA,2019
Frozen 2,27022,535,202,20.42494129,USA,2019
Knives Out,31495,485,270,17.50439001,USA,2019
Ford v Ferrari,50231,569,253,18.39638805,France,2019
