,actor,sentiment,count
0,CCH Pounder,0.10739359676162133,20
1,Johnny Depp,0.07872807627771616,462
2,Christoph Waltz,0.11140059579424225,494
3,Tom Hardy,0.08990437962038896,496
4,J.K. Simmons,0.1211107229619888,79
5,Brad Garrett,0.11235642135642135,20
6,Chris Hemsworth,0.1313024939070889,494
7,Alan Rickman,0.10853558044202062,493
8,Henry Cavill,0.12070316462303562,499
9,Johnny Depp,0.07872807627771616,462
10,Johnny Depp,0.07872807627771616,462
11,Henry Cavill,0.12070316462303562,499
12,Peter Dinklage,0.08986996577881991,216
13,Chris Hemsworth,0.1313024939070889,494
14,Johnny Depp,0.07872807627771616,462
15,Will Smith,0.0576314927012472,496
16,Aidan Turner,0.0007575757575757574,220
17,Emma Stone,0.10635324958055607,497
18,Mark Addy,0.08922443181818182,20
19,Aidan Turner,0.0007575757575757574,220
20,Christopher Lee,0.1238907090053764,496
21,Naomi Watts,0.0775209214061692,239
22,Leonardo DiCaprio,0.15053152394643182,495
23,Robert Downey Jr.,0.14644303481409487,499
24,Liam Neeson,0.057845844721474755,496
25,Bryce Dallas Howard,0.12759463821111566,495
26,Albert Finney,0.18052362025513075,180
27,J.K. Simmons,0.1211107229619888,79
28,Robert Downey Jr.,0.14644303481409487,499
29,Johnny Depp,0.07872807627771616,462
30,Hugh Jackman,0.2908443989992097,494
31,Steve Buscemi,0.07896390158195717,495
32,Tim Holmes,0.0802133905189461,180
33,Emma Stone,0.10635324958055607,497
34,Jeff Bridges,0.3303391445818768,496
35,Joe Mantegna,0.22130480828695115,40
36,Ryan Reynolds,0.1367400621654784,495
37,Tom Hanks,0.1514650522782509,492
38,Christian Bale,0.14269345514517914,437
39,Jason Statham,0.11573018974203189,475
40,Peter Capaldi,0.1878301386399589,344
41,Jennifer Lawrence,0.129381611441058,497
42,Benedict Cumberbatch,0.10081451656621555,494
43,Eddie Marsan,0.1678062545093795,180
44,Leonardo DiCaprio,0.15053152394643182,495
45,Jake Gyllenhaal,0.0953481413637076,484
46,Charlie Hunnam,0.15157582962435284,237
47,Harrison Ford,0.09716929078672332,492
48,Kelly Macdonald,0.1400691724724928,40
49,Sofia Boutella,0.10537558621933622,40
50,Tzi Ma,0.23599742271617272,39
51,Oliver Platt,0.11583333333333334,20
52,Robin Wright,0.10533184408184408,39
53,Channing Tatum,0.14801853621680766,499
54,Christoph Waltz,0.11140059579424225,494
55,Jim Broadbent,0.08749305555555556,40
56,Jennifer Lawrence,0.129381611441058,497
57,Christian Bale,0.14269345514517914,437
58,Amy Poehler,0.20986995650953982,495
59,Robert Downey Jr.,0.14644303481409487,499
60,Will Smith,0.0576314927012472,496
61,Jet Li,0.09938395734983041,499
62,Will Smith,0.0576314927012472,496
63,Tom Cruise,0.07900278779568609,499
64,Joseph Gordon-Levitt,0.12443745574725261,218
65,Amy Poehler,0.20986995650953982,495
66,Scarlett Johansson,0.07625689216320523,495
67,Robert Downey Jr.,0.14644303481409487,499
68,Chris Hemsworth,0.1313024939070889,494
69,Angelina Jolie Pitt,0.04174071207183788,151
70,Gary Oldman,0.1780265008163193,397
71,Keanu Reeves,0.10476399390001678,494
72,Scarlett Johansson,0.07625689216320523,495
73,Jon Hamm,0.0880173587820909,455
74,Judy Greer,0.24723860630110628,40
75,Jack McBrayer,0.02267857142857143,20
76,Tom Hanks,0.1514650522782509,492
77,Vivica A. Fox,0.19568073593073593,60
78,Gerard Butler,0.13594980420720884,498
79,Nick Stahl,0.21724140963203467,80
80,Bradley Cooper,0.0367846418151208,499
81,Matthew McConaughey,0.17080138499222025,497
82,Leonardo DiCaprio,0.15053152394643182,495
83,Aidan Turner,0.0007575757575757574,220
84,Paul Walker,0.08920744283378193,493
85,Brad Pitt,0.10961099833308816,493
86,Jennifer Lawrence,0.129381611441058,497
87,Jennifer Lawrence,0.129381611441058,497
88,Nicolas Cage,0.09348769631463157,498
89,Johnny Depp,0.07872807627771616,462
90,Justin Timberlake,0.04669354689078884,496
91,Dominic Cooper,0.18198870400432904,40
92,J.K. Simmons,0.1211107229619888,79
93,Anthony Hopkins,0.12497510754045438,483
94,Robert Pattinson,0.12857214997817534,457
95,Robert Pattinson,0.12857214997817534,457
