gross,budget,senti_actor,senti_director,country,genres,imdb_score,count_actor,count_director,senti_comment,log_budget
760505847,237000000,0.107393597,0.171307883,USA,Action,7.9,20,120,0.182644183,19.2835707
309404152,300000000,0.078728076,0.06275,USA,Action,7.1,462,20,0.151764069,19.51929303
200074175,245000000,0.111400596,0.198971202,UK,Action,6.8,494,420,0.141949653,19.31676877
448130642,250000000,0.08990438,0.112011246,USA,Action,8.5,496,500,0.101435282,19.33697148
73058679,263700000,0.132119417,0.474118056,USA,Action,6.6,284.7456014,40,0.219712403,19.39032265
336530303,258000000,0.121110723,-0.0134088,USA,Action,6.2,79,260,0.133071402,19.36847014
200807262,260000000,0.112356421,0,USA,Adventure,7.8,20,1040,0.288521397,19.37619219
458991599,250000000,0.131302494,0.055425824,USA,Action,7.5,494,440,0.132755405,19.33697148
301956980,250000000,0.10853558,0.118311147,UK,Adventure,7.5,493,80,0.099744057,19.33697148
330249062,250000000,0.120703165,0.093798123,USA,Action,6.9,499,500,0.149890787,19.33697148
200069408,209000000,0.132119417,0.058386227,USA,Action,6.1,284.7456014,180,0.139158952,19.15784481
168368427,200000000,0.132119417,0,UK,Action,6.7,284.7456014,180,0.038892197,19.11382792
423032628,225000000,0.078728076,0.06275,USA,Action,7.3,462,20,0.111179408,19.23161096
89289910,215000000,0.078728076,0.06275,USA,Action,6.5,462,20,0.092918016,19.18614859
291021565,225000000,0.120703165,0.093798123,USA,Action,7.2,499,500,0.160129653,19.23161096
141614023,225000000,0.089869966,0.1075563,USA,Action,6.6,216,40,0.131407813,19.23161096
623279547,220000000,0.131302494,0.055425824,USA,Action,8.1,494,440,0.192325943,19.2091381
241063875,250000000,0.078728076,0.103582636,USA,Action,6.7,462,100,0.127106754,19.33697148
179020854,225000000,0.057631493,0,USA,Action,6.8,496,100,0.123961446,19.23161096
255108370,250000000,0.000757576,0.099578232,New Zealand,Adventure,7.5,220,380,0.078987661,19.33697148
262030663,230000000,0.10635325,0.080667989,USA,Action,7,497,20,0.197959592,19.25358987
105219735,200000000,0.089224432,0.117975524,USA,Action,6.7,20,420,-0.024500885,19.11382792
258355354,225000000,0.000757576,0.099578232,USA,Adventure,7.9,220,380,0.082199467,19.23161096
70083519,180000000,0.123890709,0.077287458,USA,Adventure,6.1,496,20,0.127096665,19.00846741
218051260,207000000,0.077520921,0.099578232,New Zealand,Action,7.2,239,380,0.09658514,19.14822935
658672302,200000000,0.150531524,0.171307883,USA,Drama,7.7,495,120,0.188356505,19.11382792
407197282,250000000,0.146443035,0.051362171,USA,Action,8.2,499,80,0.120453315,19.33697148
